AL,4908621,52420,Alabama
AK,734002,665384,Alaska
AZ,7378494,113990,Arizona
AR,3038999,53179,Arkansas
CA,39937489,163695,California
CO,5845526,104094,Colorado
CT,3563077,5543,Connecticut
DE,990837,2489,Delaware
FL,21992985,65758,Florida
GA,10736059,59425,Georgia
HI,1412687,10931,Hawaii
ID,1826156,83569,Idaho
IL,12659682,57914,Illinois
IN,6745354,36419,Indiana
IA,3179849,56272,Iowa
KS,2910357,82278,Kansas
KY,4499692,40408,Kentucky
LA,4645184,52378,Louisiana
ME,1362359,35380,Maine
MD,6083116,12406,Maryland
MA,6976597,10554,Massachusetts
MI,10045029,96714,Michigan
MN,5700671,86936,Minnesota
MS,2963914,48432,Mississippi
MO,6169038,69707,Missouri
MT,1086759,147040,Montana
NE,1961504,77358,Nebraska
NV,3190803,110567,Nevada
NH,1377529,9349,New Hampshire
NJ,8936574,8723,New Jersey
NM,2117522,121590,New Mexico
NY,19440469,54556,New York
NC,10611862,53819,North Carolina
ND,779094,70732,North Dakota
OH,11747694,44826,Ohio
OK,3980783,69899,Oklahoma
OR,4241500,98379,Oregon
PA,12820878,46055,Pennsylvania
RI,1061712,1545,Rhode Island
SC,5210095,32020,South Carolina
SD,903027,77116,South Dakota
TN,6897576,42144,Tennessee
TX,29145505,268596,Texas
UT,3271616,84897,Utah
VT,643503,9616,Vermont
VA,8631393,42775,Virginia
WA,7693612,71298,Washington
WV,1792147,24231,West Virginia
WI,5851754,65496,Wisconsin
WY,578759,97813,Wyoming
